cue,Color,Texture,Shape,Task,cue_stim,Trial_type,pic,pic_stim,img_path,subRespo_T,Photo_Prez,Cue_Prez_T,trial_Corr,rt,What_Is_CorrResp,Subject_Respo,trial_n
fcr,red,Filled,Circle,Scene,"Circle(__class__=<class 'psychopy.visual.circle.Circle'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0, fillColor='red', fillColorSpace='named', fillRGB=array([255.,   0.,   0.]), interpolate=True, lineColor='red', lineColorSpace='named', lineRGB=array([255.,   0.,   0.]), lineWidth=1.5, name='circle_filled', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([10., 10.]), units='deg', vertices=ndarray(...), win=Window(...))",Stay,Scene,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/scenes\Sc122.jpg,4.7199641729093855,4.03708591765826,3.021611102805764,1,26.22450992783706,1,1,0
fcr,red,Filled,Circle,Scene,"Circle(__class__=<class 'psychopy.visual.circle.Circle'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0, fillColor='red', fillColorSpace='named', fillRGB=array([255.,   0.,   0.]), interpolate=True, lineColor='red', lineColorSpace='named', lineRGB=array([255.,   0.,   0.]), lineWidth=1.5, name='circle_filled', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([10., 10.]), units='deg', vertices=ndarray(...), win=Window(...))",Stay,Face,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/faces\37.jpg,7.600060823933745,6.9494632031273795,5.925269328763534,1,29.104607862071134,0,0,1
fcb,blue,Filled,Circle,Scene,"Circle(__class__=<class 'psychopy.visual.circle.Circle'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0, fillColor='blue', fillColorSpace='named', fillRGB=array([  0.,   0., 255.]), interpolate=True, lineColor='blue', lineColorSpace='named', lineRGB=array([  0.,   0., 255.]), lineWidth=1.5, name='circle_filled', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([10., 10.]), units='deg', vertices=ndarray(...), win=Window(...))",Stay,Scene,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/scenes\Sc77.jpg,10.511949849769735,10.042673956129875,9.024640109022585,1,32.01649656710288,1,1,2
fpr,red,Filled,Polygon,Face,"ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='red', fillColorSpace='named', interpolate=True, lineColor='red', lineColorSpace='named', lineWidth=0, name='polygon_filled', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([15., 15.]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)",IDS,Scene,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/scenes\68.jpg,13.15203128198118,12.744964221030386,11.72333066212741,1,34.656569016879075,0,0,3
fcr,red,Filled,Circle,Scene,"Circle(__class__=<class 'psychopy.visual.circle.Circle'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0, fillColor='red', fillColorSpace='named', fillRGB=array([255.,   0.,   0.]), interpolate=True, lineColor='red', lineColorSpace='named', lineRGB=array([255.,   0.,   0.]), lineWidth=1.5, name='circle_filled', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([10., 10.]), units='deg', vertices=ndarray(...), win=Window(...))",IDS,Face,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/faces\196.jpg,16.272063593092753,15.697430766260368,14.680752946402208,0,37.776623463279975,0,1,4
fcb,blue,Filled,Circle,Scene,"Circle(__class__=<class 'psychopy.visual.circle.Circle'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0, fillColor='blue', fillColorSpace='named', fillRGB=array([  0.,   0., 255.]), interpolate=True, lineColor='blue', lineColorSpace='named', lineRGB=array([  0.,   0., 255.]), lineWidth=1.5, name='circle_filled', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([10., 10.]), units='deg', vertices=ndarray(...), win=Window(...))",Stay,Face,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/faces\138.jpg,19.103928725642618,18.431122028337995,17.401275955235178,1,40.60848891663409,0,0,5
dpb,blue,Donut,Polygon,Scene,"ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='blue', fillColorSpace='named', interpolate=True, lineColor='blue', lineColorSpace='named', lineWidth=30, name='polygon_donut', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([15., 15.]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)",EDS,Scene,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/scenes\Sc142.jpg,22.063910362976458,21.65568937961507,20.64966922174426,1,43.568471195569145,1,1,6
fpr,red,Filled,Polygon,Face,"ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='red', fillColorSpace='named', interpolate=True, lineColor='red', lineColorSpace='named', lineWidth=0, name='polygon_filled', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([15., 15.]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)",EDS,Face,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/faces\25.jpg,24.65598708325706,24.201652832645777,23.1832811817294,1,46.16054663264367,1,1,7
dcr,red,Donut,Circle,Face,"Circle(__class__=<class 'psychopy.visual.circle.Circle'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0, fillColor=None, fillColorSpace='rgb', fillRGB=None, interpolate=True, lineColor='red', lineColorSpace='named', lineRGB=array([255.,   0.,   0.]), lineWidth=100, name='circle_donut', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([10., 10.]), units='deg', vertices=ndarray(...), win=Window(...))",EDS,Face,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/faces\41.jpg,27.599904593684187,26.8886883524101,25.878865094698995,1,49.104467992685386,1,1,8
dpr,red,Donut,Polygon,Face,"ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='red', fillColorSpace='named', interpolate=True, lineColor='red', lineColorSpace='named', lineWidth=30, name='polygon_donut', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([15., 15.]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)",Stay,Scene,"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.30610668, 10.30610668]), texRes=128, units='deg', win=Window(...))",Z:\THHS_Paradigm/localizer_stim/scenes\Sc114.jpg,30.543916740505665,30.059821108345204,29.032050299083494,1,52.04846442024427,0,0,9
